x1,x2,label
-0.382891174,-0.090840042,1
-0.020962291,-0.477874156,1
-0.396115962,-1.289426942,0
-0.618130184,-0.06383715,1
0.703478376,-0.187038368,1
-0.459704634,0.694774654,0
-0.450916815,-0.715705236,0
-0.455620045,-0.134060156,1
-0.265139043,0.408128713,1
-0.154746479,0.414069733,1
0.231205998,-0.532758993,1
0.156238754,-0.867808796,0
0.516475409,0.489409952,1
0.687070067,-0.023341293,1
0.547598685,-0.164823729,1
-0.321795721,-0.805535356,0
-1.074786392,-0.733362001,0
0.767584549,-0.434987831,0
-0.474752344,-0.33813186,1
0.154206557,1.073060318,0
0.659166959,0.207736341,0
-0.777950027,0.132655499,1
0.470254541,-0.312287475,1
-0.042467991,0.265554461,1
-0.724059543,0.488071855,0
-0.369600055,-1.065140282,0
0.178333274,-0.497189724,1
-0.939278643,-0.419516375,0
0.509141518,-0.709774668,0
-0.05569852,-0.821626072,0
-0.112145789,0.72197044,1
0.804639214,-0.152212955,1
0.082614873,-0.11749021,1
0.203495412,-0.373967894,1
0.138646933,-0.239056421,1
0.327853072,-1.007690373,0
0.889440612,-0.391176281,0
-0.058379473,0.284870387,1
-1.067365296,0.220400598,0
-0.600713446,-0.695451893,0
-0.03972324,-0.409360559,1
0.397420851,0.206211624,1
-0.369411537,0.012981103,1
0.035737028,0.466662287,0
-0.568149989,-0.412884189,1
0.410472991,-0.736408677,0
0.882497066,-0.690044042,0
0.065798217,-0.504583948,1
-0.75737223,-0.072402801,0
0.183169661,0.087220066,1
0.672483139,-0.418926651,0
0.258987231,0.396886452,1
-1.131298297,0.481061401,0
1.059284404,0.644902867,0
0.410196627,0.387901983,1
0.951420292,-0.040899826,0
-0.604929878,0.439509064,0
0.233147616,-0.81785711,1
0.910673315,0.307020754,0
-0.450264718,-0.037241039,1
-0.813961211,-0.647339593,0
-0.231913384,0.505339924,1
-0.597609825,0.280231681,1
0.739601657,-0.842702805,0
0.572946594,-0.311989276,0
0.248211325,-0.54784509,1
0.521278019,0.941080053,0
0.339731984,0.106099785,1
1.053390358,-0.021975929,0
0.013274659,-0.633795017,1
0.242258902,0.490320637,1
-0.892666117,0.634507598,0
0.167256604,0.235484616,1
-0.056117047,0.388340992,1
0.84695486,0.81435811,0
0.299761953,-0.079430307,1
-0.140476204,0.724860324,0
-0.054820241,0.184173283,1
-0.246438845,-0.432833368,1
-0.234606454,0.640944198,0
-1.131848931,-0.619649424,0
-0.92413821,-0.453020892,0
0.222574505,0.770525966,0
-0.694537652,0.530141473,0
-1.0362509,0.773399647,0
0.518805851,0.301522321,1
-0.77429541,0.025537669,0
0.714683264,0.568690148,0
-0.338752738,0.468260633,1
-0.347492443,0.134414176,1
1.129807964,0.042819363,0
-0.383089794,0.791168123,0
-0.074251406,0.218462498,1
-0.449452025,-0.057222657,1
0.857832876,0.637788878,0
-0.474862034,-0.224981122,1
0.126272433,0.869784124,0
-0.647364576,-0.363424374,1
0.474404587,1.011015846,0
-0.385657721,-0.810311833,0
